EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,-35.800001572903334,2,2,6.174123764038086,2000,-20.145923614501953,5.6477666,0.007252115,0.0,-0.01392744,0.002224436
1000.0,-40.40255800135487,2,4,11.931760787963867,4000,0.131943941116333,5.657105,0.010360774,0.0,-0.018368348,0.0085872365
1000.0,-44.35291903223776,2,6,17.87244176864624,6000,0.3282719850540161,5.640945,0.010504711,0.0,-0.017676838,0.010278408
1000.0,-45.21480926353118,2,8,23.824542999267578,8000,0.002257227897644043,5.646621,0.0062113446,0.0,-0.014775874,0.018616797
1000.0,-47.29352509039721,2,10,29.71914315223694,10000,0.7449339926242828,5.6539264,0.0068110917,0.0,-0.013027161,0.042944778
1000.0,-45.11320329359507,2,12,35.61039352416992,12000,0.9238478541374207,5.6690063,0.009008003,0.0,-0.016312802,0.011472461
1000.0,-46.86193418245579,2,14,41.43856906890869,14000,0.8944586366415024,5.6578526,0.008360258,0.0,-0.01097813,0.050868563
1000.0,-46.86003286351177,2,16,47.32571268081665,16000,0.8940144330263138,5.6801925,0.009002493,0.0,-0.014626296,0.03817785
1000.0,-45.9260820918964,2,18,53.2476167678833,18000,0.5741201341152191,5.6748767,0.0074347323,0.0,-0.017077992,0.026121814
1000.0,-44.85873649651164,2,20,59.160377979278564,20000,0.4364303946495056,5.700606,0.009189718,0.0,-0.01672935,0.029034924
1000.0,-44.619055623218344,2,22,65.08041858673096,22000,-1.080071210861206,5.714708,0.008809148,0.0,-0.014635582,0.040187567
1000.0,-44.667143522071704,2,24,71.05887842178345,24000,-0.5808563232421875,5.7032313,0.008100672,0.0,-0.017483646,0.036497183
1000.0,-45.612847253700465,2,26,76.9604332447052,26000,0.6528784036636353,5.6847024,0.009104326,0.0,-0.015764471,0.046835966
1000.0,-44.993085498346396,2,28,82.93894553184509,28000,0.05566591024398804,5.654261,0.008966709,0.0,-0.013334727,0.039920762
1000.0,-45.6221752184716,2,30,88.87201189994812,30000,0.010614991188049316,5.649684,0.0123929605,0.0,-0.016105967,0.042549383
1000.0,-45.830951947546076,2,32,94.78584480285645,32000,0.21940135955810547,5.653218,0.010156467,0.0,-0.017674971,0.051789317
1000.0,-45.00402456175659,2,34,100.70843839645386,34000,0.4195293188095093,5.6218305,0.012323655,0.0,-0.0197461,0.056274287
1000.0,-45.07932783112475,2,36,106.62402391433716,36000,0.2252330183982849,5.5771937,0.0067849094,0.0,-0.01226581,0.045853876
1000.0,-44.75363548895286,2,38,112.49683332443237,38000,0.39065462350845337,5.5637193,0.011002043,0.0,-0.020623613,0.050652746
1000.0,-44.02719436162365,2,40,118.38746547698975,40000,-3.335026741027832,5.5652356,0.0058426233,0.0,-0.011750404,0.04079603
1000.0,-44.02707901749552,3,43,124.50822901725769,43000,0.19679111242294312,5.5845475,0.0088161435,0.0,-0.016313242,0.051907655
1000.0,-45.01094018458445,2,45,130.40842843055725,45000,0.11973965167999268,5.5516353,0.01404532,0.0,-0.012069788,0.0794512
1000.0,-44.40006058352837,2,47,136.3073422908783,47000,-0.07754993438720703,5.517772,0.011644041,0.0,-0.018323734,0.03533957
1000.0,-44.86239758750961,2,49,142.26744079589844,49000,-2.339198350906372,5.5435433,0.007406492,0.0,-0.01390972,0.043650813
1000.0,-45.10751284047829,2,51,148.18977522850037,51000,0.6747987866401672,5.5338287,0.010690465,0.0,-0.017168835,0.060704876
1000.0,-44.744524350682795,2,53,154.01021265983582,53000,-0.15855026245117188,5.5196643,0.0066651464,0.0,-0.011841776,0.044529736
1000.0,-45.360282720365305,2,55,159.86139392852783,55000,-2.8237481117248535,5.5435987,0.0073452196,0.0,-0.012441037,0.038667034
1000.0,-44.58050454709611,2,57,165.77817058563232,57000,0.13463526964187622,5.5568748,0.008060439,0.0,-0.012969829,0.0492212
1000.0,-43.83874955131787,2,59,171.6938760280609,59000,0.12457448244094849,5.4909406,0.009574284,0.0,-0.015451485,0.040758956
1000.0,-43.251299435623224,2,61,177.5290448665619,61000,0.06675875186920166,5.509644,0.007499439,0.0,-0.01638631,0.050314087
1000.0,-43.83575986404366,2,63,183.48960995674133,63000,0.6161153614521027,5.49822,0.008763503,0.0,-0.015249997,0.08155016
1000.0,-43.868049645653926,2,65,189.32559204101562,65000,-0.09957230091094971,5.56053,0.0075819986,0.0,-0.01322906,0.045319606
1000.0,-44.38382676764103,2,67,195.20183444023132,67000,-6.6729302406311035,5.579332,0.005717934,0.0,-0.011757745,0.04481213
1000.0,-44.42374401787927,2,69,201.0022897720337,69000,0.04596900939941406,5.555877,0.0054816054,0.0,-0.009463254,0.046122126
1000.0,-43.723741451507365,2,71,206.91437005996704,71000,-0.5422139167785645,5.588038,0.0062729684,0.0,-0.011105554,0.02222211
1000.0,-43.55757611925405,2,73,212.77127051353455,73000,0.48038017749786377,5.5747833,0.010503311,0.0,-0.014062078,0.0442655
1000.0,-43.7254466231285,2,75,218.693195104599,75000,-0.4717189073562622,5.589314,0.0102601545,0.0,-0.019627752,0.053367008
1000.0,-44.038936319126165,2,77,224.62758207321167,77000,0.22164273262023926,5.5971675,0.007119761,0.0,-0.015624973,0.07012933
1000.0,-43.90644904161421,2,79,230.5461666584015,79000,-0.6647398471832275,5.6035056,0.005154136,0.0,-0.008186743,0.061860107
